Drive,Ring,Hole,L/R,Target Dip,Target Dump,Length,Diameter,Rods,B/T,Collared Dump,Collared Dip,Actual Length,Actual B/T,Rig,Driller,Date,Comment,Status,Facing,Recalculation,Image File
Stope Up,Stope-R4,1,3.04L ,90,90,16.93,100,11.1,N,,,,,,,,,,,,Stope Up_Stope-R4.png
Stope Up,Stope-R4,2,0.54L ,90,90,50.15,100,32.88,N,,,,,,,,,,,,Stope Up_Stope-R4.png
Stope Up,Stope-R4,3,1.96R ,90,90,60,100,39.34,N,,,,,,,,,,,,Stope Up_Stope-R4.png
Stope Up,Stope-R5,1,1.70L ,90,90,35.62,100,23.35,Y,,,,,,,,,,,,Stope Up_Stope-R5.png
Stope Up,Stope-R5,2,0.80R ,90,90,35.65,100,23.38,Y,,,,,,,,,,,,Stope Up_Stope-R5.png
Stope Up,Stope-R6,1,2.86L ,90,90,35.53,100,23.3,Y,,,,,,,,,,,,Stope Up_Stope-R6.png
Stope Up,Stope-R6,2,0.36L ,90,90,35.55,100,23.31,Y,,,,,,,,,,,,Stope Up_Stope-R6.png
Stope Up,Stope-R6,3,2.14R ,90,90,35.63,100,23.36,Y,,,,,,,,,,,,Stope Up_Stope-R6.png
Stope Up,Stope-R7,1,1.51L ,90,90,35.48,100,23.26,Y,,,,,,,,,,,,Stope Up_Stope-R7.png
Stope Up,Stope-R7,2,0.99R ,90,90,35.49,100,23.27,Y,,,,,,,,,,,,Stope Up_Stope-R7.png
Stope Up,Stope-R8,1,2.66L ,90,90,35.42,100,23.22,Y,,,,,,,,,,,,Stope Up_Stope-R8.png
Stope Up,Stope-R8,2,0.16L ,90,90,35.43,100,23.23,Y,,,,,,,,,,,,Stope Up_Stope-R8.png
Stope Up,Stope-R8,3,2.34R ,90,90,35.44,100,23.24,Y,,,,,,,,,,,,Stope Up_Stope-R8.png
Stope Up,Stope-R9,1,1.31L ,90,90,35.36,100,23.19,Y,,,,,,,,,,,,Stope Up_Stope-R9.png
Stope Up,Stope-R9,2,1.19R ,90,90,35.38,100,23.2,Y,,,,,,,,,,,,Stope Up_Stope-R9.png
Stope Up,Stope-R10,1,2.46L ,90,90,35.3,100,23.15,Y,,,,,,,,,,,,Stope Up_Stope-R10.png
Stope Up,Stope-R10,2,0.04R ,90,90,35.31,100,23.16,Y,,,,,,,,,,,,Stope Up_Stope-R10.png
